[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/rules/:id/execute, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/rules/execute/status, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/rules/execute/stop, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/rules/:id/execute/stop, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/rules, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/rules/exclusion, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/rules/exclusion/:id, DELETE} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/rules/exclusions/:mediaServerId, DELETE} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/rules, PUT} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/rules/community, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/rules/community/karma, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/rules/yaml/encode, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/rules/yaml/decode, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/rules/test, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/rules/migrate, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RoutesResolver] CollectionsController {/app/maintainerr/api/collections}:
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/collections, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/collections/add, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/collections/remove, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/collections/removeCollection, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/collections, PUT} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/collections/handle, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/collections/schedule/update, PUT} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/collections/deactivate/:id, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/collections/activate/:id, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/collections, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/collections/collection/:id, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/collections/media/add, POST} route
